ts	phase	decision	why	evidence	result
2026-09-05T18:06:47Z	frame	Use August immutable-history architecture and preserve the full continuity fault matrix	User explicitly requested closure of all six roadmap gaps rather than an owner-node failover patch	docs/scope-continuity-plan.md; 2ff388f4	Open; source grounding in progress
2026-09-05T18:06:47Z	coordination	Use the two existing checkouts and disjoint worker files	User forbids worktrees and expects direct sibling coordination	marshal message 01a072bf-282f-76d3-bb57-c6c839032f51	Room message persisted; recorded Myko session was not live
2026-09-05T18:11:37Z	ground	Trace journal replay, origin-bound execution, authority, and retained native routing before choosing replacements	The existing mechanisms do not establish scope-level custody or multiwriter convergence	docs/scope-continuity-grounding.md	Grounded; two architecture candidates and native acceptance fixture in progress
2026-09-05T18:11:37Z	baseline	Run the existing federation unit suite before changes	Preserve an actual regression baseline without claiming it proves the new continuity contract	/tmp/myko-scope-baseline-federation.log	73 tests passed; flux cannot plan a crate root without a local flux.toml so used repository-permitted focused cargo test
2026-09-05T18:22:07Z	harness	Keep the native founding-node replacement test red	C retains relayed history but the current source-bound watch does not serve that history as C's scope	libs/myko/node/tests/scope_continuity.rs; /tmp/scope-continuity-red.log	NOT VERIFIED for continuity; baseline failure reproduced without simulated custody
2026-09-05T18:22:07Z	integrity	Reject conflicting immutable content under a retained event origin	Deduplication previously accepted a changed result as an ordinary duplicate	libs/myko/federation/src/tests.rs; /tmp/myko-event-conflict-red.log; /tmp/myko-event-conflict-verified-tests.log; /tmp/myko-event-conflict-verified-lint.log	VERIFIED in memory: regression failed before fix; 74 tests and strict Clippy pass after fix; durable reopen check pending
2026-09-05T18:22:07Z	design	Prefer the causal candidate but withhold implementation approval	Cross-model review found identity, partition conflict, multi-key coordination, epoch fencing, and expired-writer history gaps	docs/scope-continuity-candidate-causal.md; docs/scope-continuity-candidate-streams.md; scope_design_judge gpt-5.5 review	Open; candidate ranking is not a safety proof
2026-09-05T18:22:07Z	design	Reject coordinated-by-default handlers in the candidate	August explicitly permits local execution and preserves accepted changes even when command execution is nondeterministic	docs/superpowers/specs/2026-08-22-myko-federation-first-principles.md sections 4 and 5; docs/scope-continuity-plan.md	Open; preserve local-first commands and make uncertain retry limits explicit
2026-09-05T18:25:19Z	integrity	Verify origin conflict rejection across real Redb reopen cycles	The origin index must retain its immutable-content check after recovery	libs/myko/redb/src/lib.rs; /tmp/myko-redb-origin-conflict-test.log; /tmp/myko-redb-origin-conflict-clippy.log	VERIFIED: 6 Redb tests and strict Clippy pass; original history and result survive rejected imports
2026-09-05T18:25:19Z	verification	Check focused Rust formatting and whitespace without formatting unrelated files	The root flux task catalog has no format task	cargo fmt -p myko-federation -- --check; rustfmt --edition 2024 --check libs/myko/redb/src/lib.rs; git diff --check	Pass with stable-rustfmt warnings about ignored nightly settings; direct format checks used as fallback
