timestamp	phase	decision	why	evidence	result
2026-09-03T23:00:00-07:00	architecture	Keep v7 federation and restore v6 reactive/session invariants	The historical record explicitly selects lazy keyed plans, one materialization, session ownership, and typed pending rows while rejecting WebSocket-era ownership	commits a8eee4e3 279a597e ff24c5fb 4810a82d; federation first-principles; v6 restoration audit	VERIFIED
2026-09-03T23:01:00-07:00	architecture	Preserve distinct macro-registered query view and report contracts	They are domain concepts in the established authoring model; shared mechanics do not justify erasing them	current macros and handler traits; operator corrections in active design conversation	VERIFIED
2026-09-03T23:02:00-07:00	architecture	Use typed service activation with inventory-filtered generated registrations	This avoids process-global activation and handwritten handler lists while keeping compile-linked discovery	current MykoApplication registry; architecture arena red-flag review	VERIFIED
2026-09-03T23:03:00-07:00	architecture	Do not introduce a broad kernel or a public reactive crate in the first cut	A narrow runtime extraction is sufficient; broader packages would freeze ownership before the shared implementation is proven	three architecture candidates and cross-model judgment	VERIFIED
2026-09-03T23:04:00-07:00	phase-1	Start by deleting the myko-wire to myko-app dependency	The handler DTOs are serialized protocol data; moving them is a small behavior-preserving ownership correction	Cargo dependency graph and HandlerRequest caller inventory	VERIFIED
2026-09-03T23:55:45-07:00	phase-1	Record the wire ownership baseline before implementation	The checker must fail on the exact dependency and definition inversion it is meant to remove	scripts/check-v7-convergence.sh wire: four expected failures	NOT VERIFIED
2026-09-03T23:58:17-07:00	phase-1	Move handler protocol DTOs from app to wire and invert the Cargo edge	The DTOs are canonical serialized protocol data and do not own application behavior	wire architecture check; 6 myko-wire tests; focused checks for app session local iroh websocket	VERIFIED
2026-09-04T00:04:25-07:00	phase-2	Delete whole-snapshot collection reconstruction from every view	Item-backed views can use shared typed collections; derived receipts can use MapQuery; process-local snapshot APIs should key rows at the source	collection architecture check; 131 unit and integration tests plus 6 doc tests; RuntimeCollection one-row regression test	VERIFIED
2026-09-04T00:23:36-07:00	phase-2	Make a view handler return a lazy keyed plan and preserve those keys on the wire	The map key is the row identity; recomputing identity from deserialized values duplicated application logic in every client and prevented one materialization boundary	focused app authority local Iroh node and wire suites: 107 unit and integration tests plus 6 doc tests	VERIFIED
2026-09-04T00:38:22-07:00	phase-2	Carry durable lifecycle metadata in item rows and own runtime snapshot reconciliation in the framework	Ordering is part of durable projection state even when a value is unchanged; process-local sources need the same keyed diff contract without application adapters	collection architecture check; metadata-only rewrite regression; runtime one-row diff regression; 171 unit and integration tests plus 6 compile-fail doc tests	VERIFIED
2026-09-04T00:56:58-07:00	phase-2	Compose keyed plans with a framework-owned union and fold projected row/lifecycle updates in one Hyphae pipeline	Multi-source views need independent frontiers without application materialization; the former pair of imperative subscriptions could publish a state-only revision after its matching row diff	50-run union and projected-diff stress checks; strict federation Clippy; Forrest conversation view check; collection architecture check; 173 unit and integration tests plus 6 compile-fail doc tests	VERIFIED
2026-09-04T01:28:00-07:00	phase-2	Filter selected replay at the mutation boundary rather than the command-event boundary	Resource claims authorize all command effects but do not place every mutation; rejecting a whole event when an unrelated referenced claim is outside the query hides authorized state	failing-before scoped replay regression returned Some([]); passing-after regression; 68 federation tests; strict federation Clippy	VERIFIED
2026-09-04T02:18:00-07:00	phase-2	Make every live query a keyed collection of its declared item type and reserve views and reports for derived rows and scalars	This restores the v6 reactive distinction without retaining eager ItemQuery output projection; generated and custom queries now share one handler factory and transport delta contract	24 app tests; 68 federation tests; 7 item tests; 10 local tests; 14 authority tests; 32 Iroh tests; 6 compile-fail DX tests; focused crate checks	VERIFIED
2026-09-04T02:24:00-07:00	phase-3	Bound session delivery and coalesce pending typed collection revisions	A slow transport must apply backpressure without allowing per-subscriber typed revision memory to grow without limit; compatible diffs may collapse while preserving sequential row semantics and the newest lifecycle state	architecture session channel check; coalesced-versus-sequential diff regression; 6 session tests	VERIFIED
2026-09-04T10:05:25Z	architecture	Keep Myko 6 code ownership and move Myko 7 domain semantics into it	The operator clarified that Myko 7 duplicates Myko 6 and wire compatibility is not required; the prior narrow-runtime cutover chose the wrong implementation base	docs/superpowers/specs/2026-09-04-myko-7-thermo-review-update.md	VERIFIED
